First,Last,Player,Team,Season,Min,Pos,Shots,SoT,Dist,Solo,Goals,xG,xPlace,G.xG,KeyP,Dist.key,Assts,xA,A.xA,xG.xA,xGperShot,xAperPass,GmxGperShot,AmxAperPass
Mike,Grella,Mike Grella,NYRB,2015,2431,A,52,22,17.22982382,0.288461538,9,7.466475687,-0.125640736,1.533524313,29,18.43076189,6,4.188473397,1.811526603,11.65494908,0.143586071,0.144430117,0.029490852,0.062466435
Daniel,Royer,Daniel Royer,NYRB,2017,1952,A,52,22,16.66023883,0.192307692,12,9.063360254,0.929435175,2.936639746,18,18.59017162,2,2.438165125,-0.438165125,11.50152538,0.174295389,0.135453618,0.056473841,-0.024342507
Giovani,dos Santos,Giovani dos Santos,LAG,2017,2314,F,59,16,22.29976289,0.355932203,6,7.693615883,-0.14301254,-1.693615883,40,20.46605427,3,3.752047352,-0.752047352,11.44566323,0.130400269,0.093801184,-0.028705354,-0.018801184
Diego,Valeri,Diego Valeri,POR,2015,1779,A,67,22,24.38685986,0.328358209,2,5.708814264,-1.659162285,-3.708814264,64,17.4469523,5,5.672520372,-0.672520372,11.38133464,0.085206183,0.088633131,-0.055355437,-0.010508131
Juan,Agudelo,Juan Agudelo,NER,2015,1856,F,54,21,12.21938883,0.148148148,7,9.156136592,-0.171374412,-2.156136592,19,19.80606116,2,2.203129941,-0.203129941,11.35926653,0.169558085,0.115954207,-0.039928455,-0.01069105
David,Accam,David Accam,CHI,2015,1944,M,67,35,18.99258107,0.164179104,10,7.933234904,1.399487736,2.066765096,44,18.88059979,2,3.416221152,-1.416221152,11.34945606,0.118406491,0.07764139,0.03084724,-0.032186844
Lloyd,Sam,Lloyd Sam,NYRB,2015,2338,A,32,19,18.93967021,0.1875,10,5.42428316,2.435408684,4.57571684,35,17.05031808,4,5.785385794,-1.785385794,11.20966895,0.169508849,0.165296737,0.142991151,-0.051011023
Rodney,Wallace,Rodney Wallace,NYC,2017,2004,F,52,15,16.66511843,0.25,4,8.236508372,-1.823581978,-4.236508372,28,19.90801986,5,2.962801988,2.037198012,11.19931036,0.158394392,0.105814357,-0.081471315,0.072757072
Chris,Rolfe,Chris Rolfe,DCU,2015,2510,M,64,29,20.83874782,0.40625,10,8.780169727,3.09818997,1.219830273,24,21.19650729,4,2.371190892,1.628809108,11.15136062,0.137190152,0.09879962,0.019059848,0.067867046
Roland,Lamah,Roland Lamah,FCD,2017,2215,A,44,22,17.46376894,0.227272727,11,7.638850124,2.237219458,3.361149876,32,21.3675247,2,3.474828673,-1.474828673,11.1136788,0.17361023,0.108588396,0.07638977,-0.046088396
Danny,Hoesen,Danny Hoesen,SJE,2017,1940,F,70,24,20.72869122,0.257142857,5,6.907856125,-1.764555758,-1.907856125,34,19.35144759,5,4.170932753,0.829067247,11.07878888,0.098683659,0.122674493,-0.027255088,0.024384331
Kekuta,Manneh,Kekuta Manneh,VAN,2015,2523,A,82,32,23.84109942,0.219512195,7,6.230795599,-0.00569199,0.769204401,40,22.28848075,5,4.743975477,0.256024523,10.97477108,0.075985312,0.118599387,0.009380541,0.006400613
Gyasi,Zardes,Gyasi Zardes,LAG,2015,2586,M,45,13,17.21615384,0.266666667,6,6.061260585,-1.171739235,-0.061260585,35,17.47081964,3,4.912208857,-1.912208857,10.97346944,0.13469468,0.140348824,-0.001361346,-0.054634539
